benchmark,ghostty-ubuntuĂ—,ghostty-webĂ—,ghostty-wtermĂ—,xtermjsĂ—
cursor_motion,1.0,7.81,1.43,1.32
dense_cells,1.0,10.36,6.64,5.94
light_cells,1.0,16.19,20.4,2.52
medium_cells,1.0,6.29,22.76,2.34
scrolling,1.0,1.8,3.02,1.34
scrolling_bottom_region,1.0,3.08,4.34,3.11
scrolling_bottom_small_region,1.0,3.3,7.93,4.64
scrolling_fullscreen,1.0,17.32,38.44,35.73
scrolling_top_region,1.0,2.34,9.17,6.77
scrolling_top_small_region,1.0,3.18,3.73,3.47
sync_medium_cells,1.0,13.57,32.59,27.68
unicode,1.0,17.32,73.58,68.73
